No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	10uF	C1	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
2	11	100nF	C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
3	5	1uF	C3,C4,C15,C33,C34	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
4	1	470uF	C17	CAP-SMD_BD10.0-L10.3-W10.3-LS10.8-FD	470uF	25TZV470M10X10.5	rubycon(红宝石)	C2162977	LCSC
5	1	100uF	C18	CAP-SMD_BD6.3-L6.6-W6.6-LS7.0-FD	100uF	UWD1E101MCL1GS	Nichicon(尼吉康)	C2163147	LCSC
6	2	22uF	C19,C30	CASE-A_3216	22uF	TAJA226K010RNJ	Kyocera AVX	C11366	LCSC
7	1	470uF	C35	CAP-SMD_BD10.0-L10.3-W10.3-FD	470uF	EEHZK1E471P	PANASONIC(松下)	C242138	LCSC
8	8	19-213/Y2C-CQ2R2L/3T(CY)	CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7	LED0603-RD-YELLOW		19-213/Y2C-CQ2R2L/3T(CY)	EVERLIGHT(亿光)	C72038	LCSC
9	1	MMSZ5240B	D1	SOD-123_L2.8-W1.8-LS3.7-RD		MMSZ5240B	CJ(江苏长电/长晶)	C21564	LCSC
10	1	USBLC6-2SC6	D2	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	ST(意法半导体)	C7519	LCSC
11	8	SS34	D3,D20,D21,D22,D23,D24,D25,D26	SMA_L4.3-W2.6-LS5.2-RD		SS34	MDD(辰达半导体)	C8678	LCSC
12	2	SM712	D10,D11	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		SM712	TECH PUBLIC(台舟)	C521963	LCSC
13	8	1812L200/16GR	F1,F2,F3,F4,F5,F6,F7,F8	F1812		1812L200/16GR	LUTE(陆特)	C18198340	LCSC
14	1	178.6165.0002	F9	178.6165.0002		178.6165.0002	Littelfuse(美国力特)	C207061	LCSC
15	2	KF128-7.5-2P	J1,J6	CONN-TH_P7.50_KF128-7.5-2P		KF128-7.5-2P	KEFA(科发)	C474954	LCSC
16	1	DB128V-5.08-6P-GN-S	J2	CONN-TH_6P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-6P-GN-S	DORABO(地博电气)	C2915642	LCSC
17	4	DB128V-5.08-4P-GN-S	J3a,J3b,J5a,J5b	CONN-TH_4P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-4P-GN-S	DORABO(地博电气)	C2915641	LCSC
18	1	DB128V-5.08-2P-GN-S	J4	CONN-TH_2P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-2P-GN-S	DORABO(地博电气)	C2915639	LCSC
19	1	TYPE-C 16PIN 2MD(073)	J7	USB-C-SMD_TYPE-C-16PIN-2MD-073		TYPE-C 16PIN 2MD(073)	SHOU HAN(首韩)	C2765186	LCSC
20	1	HX PZ1.27-2x5P TP	J8	HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1		HX PZ1.27-2x5P TP	hanxia(韩下)	C41376037	LCSC
21	1	4.7uH	L1	IND-SMD_L5.0-W5.0	4.7uH	PNLS5020-4R7M 4.7UH	DMBJ(振宝佳)	C2849485	LCSC
22	1	F.0603.00026/P2-0603B1TS2-06T-001	LINK	LED0603-RD		F.0603.00026/P2-0603B1TS2-06T-001	TUOZHAN(拓展光电)	C7496819	LCSC
23	1	F.0603.00025/P2-0603G1TS2-06T-002	PWR	LED0603-RD_GREEN		F.0603.00025/P2-0603G1TS2-06T-002	TUOZHAN(拓展光电)	C7496818	LCSC
24	8	IRLML6344TRPBF	Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		IRLML6344TRPBF	Infineon(英飞凌)	C53550	LCSC
25	1	IPB110P06LM	Q9	TO-263-2_L10.1-W9.1-P5.08-LS15.2-BR-1		IPB110P06LM	Infineon(英飞凌)	C3279229	LCSC
26	26	10kΩ	R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R33,R57,R59	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
27	9	330Ω	R41,R42,R43,R44,R45,R46,R47,R48,R49	R0603	330Ω	0603WAF3300T5E	UNI-ROYAL(厚声)	C23138	LCSC
28	1	150Ω	R51	R0603	150Ω	0603WAF1500T5E	UNI-ROYAL(厚声)	C22808	LCSC
29	2	22Ω	R53,R54	R0603	22Ω	0603WAF220JT5E	UNI-ROYAL(厚声)	C23345	LCSC
30	2	5.1kΩ	R55,R56	R0603	5.1kΩ	0603WAF5101T5E	UNI-ROYAL(厚声)	C23186	LCSC
31	1	120Ω	R58	R0603	120Ω	0603WAF1200T5E	UNI-ROYAL(厚声)	C22787	LCSC
32	2	TS-1187A-B-A-B	SW1,SW2	SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5		TS-1187A-B-A-B	XKB Connection(中国星坤)	C318884	LCSC
33	1	STM32G0B1CBT6	U1	LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL		STM32G0B1CBT6	ST(意法半导体)	C2847904	LCSC
34	2	SP3485EN-L/TR	U2A,U2B	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		SP3485EN-L/TR	MaxLinear(迈凌)	C8963	LCSC
35	1	AP63203WU-7	U4	TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL		AP63203WU-7	DIODES(美台)	C780769	LCSC
36	2	SN74LV14APWR	U5,U6	TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL		SN74LV14APWR	TI(德州仪器)	C7780	LCSC
